,Date,Open,High,Low,Close,DaiVolume,Market Cap,DaiMean
254,14-Aug-20,1.03,1.03,0.9992,1.01,54737351,415434271,1.02
255,13-Aug-20,1.01,1.05,1,1.03,44261897,441060842,1.02
256,12-Aug-20,1.02,1.02,0.9501,1.01,44818720,423963995,1.015
257,11-Aug-20,1.02,1.03,1.01,1.01,29807915,424330563,1.015
258,10-Aug-20,1.02,1.03,1,1.02,34346474,425627880,1.02
259,9-Aug-20,1.01,1.02,1.01,1.02,19569802,384329737,1.015
260,8-Aug-20,1.01,1.02,1.01,1.01,20962370,381371182,1.01
261,7-Aug-20,1.02,1.03,1.01,1.01,23662931,382603764,1.015
262,6-Aug-20,1.02,1.02,1.01,1.02,13339646,381859304,1.02
263,5-Aug-20,1.01,1.03,1.01,1.02,14668305,392525892,1.015
264,4-Aug-20,1.01,1.02,1.01,1.01,16502946,383255774,1.01
265,3-Aug-20,1.01,1.02,1,1.01,17567196,384398263,1.01
266,2-Aug-20,1.02,1.04,1,1.01,25100823,366675256,1.015
267,1-Aug-20,1.03,1.03,1.01,1.02,22535103,368514754,1.025
268,31-Jul-20,1.03,1.04,1.02,1.03,22933590,373614643,1.03
269,30-Jul-20,1.03,1.04,1.03,1.03,18953837,348656113,1.03
270,29-Jul-20,1.02,1.04,1.02,1.03,18873978,330936556,1.025
271,28-Jul-20,1.01,1.03,1.01,1.02,12991120,302070195,1.015
272,27-Jul-20,1.01,1.02,1.01,1.01,17610963,287578908,1.01
273,26-Jul-20,1.01,1.02,1,1.01,19326007,276534298,1.01
274,25-Jul-20,1.03,1.04,1,1.01,20400950,253799216,1.02
275,24-Jul-20,1.03,1.04,1.02,1.03,18035196,285528290,1.03
276,23-Jul-20,1.03,1.03,1.02,1.03,18777152,263797840,1.03
277,22-Jul-20,1.01,1.03,1.01,1.03,10060082,223363052,1.02
278,21-Jul-20,1.01,1.02,1.01,1.01,9745520,222774702,1.01
279,20-Jul-20,1.01,1.01,1,1.01,10338905,219807881,1.01
280,19-Jul-20,1,1.01,0.9993,1.01,8571477,219962050,1.005
281,18-Jul-20,1,1.01,1,1,6982228,210368832,1
